title,indicator_name,neighborhood,% reported good or excellent
Climate and Health,Obesity (adults),Greenwich Village - SoHo,9
Climate and Health,Obesity (adults),Union Square - Lower East Side,15.2
Climate and Health,Obesity (adults),Lower Manhattan,15.2
Climate and Health,Obesity (adults),Long Island City - Astoria,24
Climate and Health,Obesity (adults),West Queens,19.7
Climate and Health,Obesity (adults),Flushing - Clearview,17.9
Climate and Health,Obesity (adults),Bayside - Little Neck,22.7
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,22.7
Climate and Health,Obesity (adults),Fresh Meadows,22.7
Climate and Health,Obesity (adults),Southwest Queens,30.6
Climate and Health,Obesity (adults),Jamaica,33.5
Climate and Health,Obesity (adults),Southeast Queens,17.1
Climate and Health,Obesity (adults),Rockaways,33.7
Climate and Health,Obesity (adults),Port Richmond,30.2
Climate and Health,Obesity (adults),Stapleton - St. George,30.2
Climate and Health,Obesity (adults),Willowbrook,23.4
Climate and Health,Obesity (adults),South Beach - Tottenville,23.4
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,23.1
Climate and Health,Obesity (adults),Northeast Bronx,35.1
Climate and Health,Obesity (adults),Fordham - Bronx Pk,31.9
Climate and Health,Obesity (adults),Pelham - Throgs Neck,34
Climate and Health,Obesity (adults),Crotona -Tremont,31.1
Climate and Health,Obesity (adults),High Bridge - Morrisania,31.1
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,31.1
Climate and Health,Obesity (adults),Greenpoint,28.4
Climate and Health,Obesity (adults),Downtown - Heights - Slope,18.3
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,31.4
Climate and Health,Obesity (adults),East New York,22.4
Climate and Health,Obesity (adults),Sunset Park,20.5
Climate and Health,Obesity (adults),Borough Park,20.9
Climate and Health,Obesity (adults),East Flatbush - Flatbush,32.5
Climate and Health,Obesity (adults),Canarsie - Flatlands,30.1
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,28.6
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,28.4
Climate and Health,Obesity (adults),Williamsburg - Bushwick,29.3
Climate and Health,Obesity (adults),Washington Heights,29.2
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,36.6
Climate and Health,Obesity (adults),East Harlem,26.9
Climate and Health,Obesity (adults),Upper West Side,17
Climate and Health,Obesity (adults),Upper East Side,8.8
Climate and Health,Obesity (adults),Chelsea - Clinton,12.9
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,8.8
Climate and Health,Obesity (adults),Greenwich Village - SoHo,12.9
Climate and Health,Obesity (adults),Union Square - Lower East Side,14.3
Climate and Health,Obesity (adults),Lower Manhattan,14.3
Climate and Health,Obesity (adults),Long Island City - Astoria,20.8
Climate and Health,Obesity (adults),West Queens,25.5
Climate and Health,Obesity (adults),Flushing - Clearview,18.2
Climate and Health,Obesity (adults),Bayside - Little Neck,22.2
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,23
Climate and Health,Obesity (adults),Fresh Meadows,22.2
Climate and Health,Obesity (adults),Southwest Queens,25.4
Climate and Health,Obesity (adults),Jamaica,26.9
Climate and Health,Obesity (adults),Southeast Queens,32.8
Climate and Health,Obesity (adults),Rockaways,36.4
Climate and Health,Obesity (adults),Port Richmond,38.8
Climate and Health,Obesity (adults),Stapleton - St. George,38.8
Climate and Health,Obesity (adults),Willowbrook,35.7
Climate and Health,Obesity (adults),South Beach - Tottenville,35.7
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,26.7
Climate and Health,Obesity (adults),Northeast Bronx,30.9
Climate and Health,Obesity (adults),Fordham - Bronx Pk,33.5
Climate and Health,Obesity (adults),Pelham - Throgs Neck,37.5
Climate and Health,Obesity (adults),Crotona -Tremont,33
Climate and Health,Obesity (adults),High Bridge - Morrisania,33
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,33
Climate and Health,Obesity (adults),Greenpoint,15
Climate and Health,Obesity (adults),Downtown - Heights - Slope,14.6
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,25.9
Climate and Health,Obesity (adults),East New York,35.5
Climate and Health,Obesity (adults),Sunset Park,14.1
Climate and Health,Obesity (adults),Borough Park,18.7
Climate and Health,Obesity (adults),East Flatbush - Flatbush,31.2
Climate and Health,Obesity (adults),Canarsie - Flatlands,42.2
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,18.8
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,27.5
Climate and Health,Obesity (adults),Williamsburg - Bushwick,32.3
Climate and Health,Obesity (adults),Washington Heights,25.3
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,36.9
Climate and Health,Obesity (adults),East Harlem,34.1
Climate and Health,Obesity (adults),Upper West Side,17
Climate and Health,Obesity (adults),Upper East Side,9.3
Climate and Health,Obesity (adults),Chelsea - Clinton,11.9
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,9.3
Climate and Health,Obesity (adults),Greenwich Village - SoHo,11.9
Climate and Health,Obesity (adults),Union Square - Lower East Side,10.2
Climate and Health,Obesity (adults),Lower Manhattan,10.2
Climate and Health,Obesity (adults),Long Island City - Astoria,18.4
Climate and Health,Obesity (adults),West Queens,22.2
Climate and Health,Obesity (adults),Flushing - Clearview,8.9
Climate and Health,Obesity (adults),Bayside - Little Neck,19.2
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,27
Climate and Health,Obesity (adults),Fresh Meadows,19.2
Climate and Health,Obesity (adults),Southwest Queens,27.7
Climate and Health,Obesity (adults),Jamaica,26.8
Climate and Health,Obesity (adults),Southeast Queens,33.1
Climate and Health,Obesity (adults),Rockaways,31.2
Climate and Health,Obesity (adults),Port Richmond,25.8
Climate and Health,Obesity (adults),Stapleton - St. George,25.8
Climate and Health,Obesity (adults),Willowbrook,32.1
Climate and Health,Obesity (adults),South Beach - Tottenville,32.1
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,18.5
Climate and Health,Obesity (adults),Northeast Bronx,30
Climate and Health,Obesity (adults),Fordham - Bronx Pk,37
Climate and Health,Obesity (adults),Pelham - Throgs Neck,28.5
Climate and Health,Obesity (adults),Crotona -Tremont,37.3
Climate and Health,Obesity (adults),High Bridge - Morrisania,37.3
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,37.3
Climate and Health,Obesity (adults),Greenpoint,15.3
Climate and Health,Obesity (adults),Downtown - Heights - Slope,15.9
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,29.6
Climate and Health,Obesity (adults),East New York,26.6
Climate and Health,Obesity (adults),Sunset Park,25.5
Climate and Health,Obesity (adults),Borough Park,21.5
Climate and Health,Obesity (adults),East Flatbush - Flatbush,29.2
Climate and Health,Obesity (adults),Canarsie - Flatlands,39.1
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,22.3
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,26.6
Climate and Health,Obesity (adults),Williamsburg - Bushwick,25.9
Climate and Health,Obesity (adults),Washington Heights,29.5
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,30
Climate and Health,Obesity (adults),East Harlem,30.1
Climate and Health,Obesity (adults),Upper West Side,17.7
Climate and Health,Obesity (adults),Upper East Side,9
Climate and Health,Obesity (adults),Chelsea - Clinton,9.7
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,9
Climate and Health,Obesity (adults),Greenwich Village - SoHo,9.7
Climate and Health,Obesity (adults),Union Square - Lower East Side,14.4
Climate and Health,Obesity (adults),Lower Manhattan,14.4
Climate and Health,Obesity (adults),Long Island City - Astoria,19.2
Climate and Health,Obesity (adults),West Queens,27
Climate and Health,Obesity (adults),Flushing - Clearview,15.1
Climate and Health,Obesity (adults),Bayside - Little Neck,20.4
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,20.7
Climate and Health,Obesity (adults),Fresh Meadows,20.4
Climate and Health,Obesity (adults),Southwest Queens,32.5
Climate and Health,Obesity (adults),Jamaica,20.9
Climate and Health,Obesity (adults),Southeast Queens,43.4
Climate and Health,Obesity (adults),Rockaways,34.6
Climate and Health,Obesity (adults),Port Richmond,32.3
Climate and Health,Obesity (adults),Stapleton - St. George,32.3
Climate and Health,Obesity (adults),Willowbrook,33.9
Climate and Health,Obesity (adults),South Beach - Tottenville,33.9
Climate and Health,Heat stress: emergency department visits,Kingsbridge - Riverdale,11.1
Climate and Health,Heat stress: emergency department visits,Northeast Bronx,9.6
Climate and Health,Heat stress: emergency department visits,Fordham - Bronx Pk,11.2
Climate and Health,Heat stress: emergency department visits,Pelham - Throgs Neck,8.9
Climate and Health,Heat stress: emergency department visits,Crotona -Tremont,7.4
Climate and Health,Heat stress: emergency department visits,High Bridge - Morrisania,13.1
Climate and Health,Heat stress: emergency department visits,Hunts Point - Mott Haven,15.5
Climate and Health,Heat stress: emergency department visits,Greenpoint,9
Climate and Health,Heat stress: emergency department visits,Downtown - Heights - Slope,11.6
Climate and Health,Heat stress: emergency department visits,Bedford Stuyvesant - Crown Heights,11.4
Climate and Health,Heat stress: emergency department visits,East New York,11.1
Climate and Health,Heat stress: emergency department visits,Sunset Park,6.5
Climate and Health,Heat stress: emergency department visits,Borough Park,4.6
Climate and Health,Heat stress: emergency department visits,East Flatbush - Flatbush,3.3
Climate and Health,Heat stress: emergency department visits,Canarsie - Flatlands,7.7
Climate and Health,Heat stress: emergency department visits,Bensonhurst - Bay Ridge,5.5
Climate and Health,Heat stress: emergency department visits,Coney Island - Sheepshead Bay,11.1
Climate and Health,Heat stress: emergency department visits,Williamsburg - Bushwick,22
Climate and Health,Heat stress: emergency department visits,Washington Heights,6.1
Climate and Health,Heat stress: emergency department visits,Central Harlem - Morningside Heights,10.1
Climate and Health,Heat stress: emergency department visits,East Harlem,11.8
Climate and Health,Heat stress: emergency department visits,Upper West Side,2.7
Climate and Health,Heat stress: emergency department visits,Upper East Side,3.6
Climate and Health,Heat stress: emergency department visits,Chelsea - Clinton,5.8
Climate and Health,Heat stress: emergency department visits,Gramercy Park - Murray Hill,3.1
Climate and Health,Heat stress: emergency department visits,Greenwich Village - SoHo,4.7
Climate and Health,Heat stress: emergency department visits,Union Square - Lower East Side,12.1
Climate and Health,Heat stress: emergency department visits,Lower Manhattan,7
Climate and Health,Heat stress: emergency department visits,Long Island City - Astoria,7.1
Climate and Health,Heat stress: emergency department visits,West Queens,5.7
Climate and Health,Heat stress: emergency department visits,Flushing - Clearview,4.3
Climate and Health,Heat stress: emergency department visits,Bayside - Little Neck,8.1
Climate and Health,Heat stress: emergency department visits,Ridgewood - Forest Hills,9.1
Climate and Health,Heat stress: emergency department visits,Fresh Meadows,7.5
Climate and Health,Heat stress: emergency department visits,Southwest Queens,6.5
Climate and Health,Heat stress: emergency department visits,Jamaica,7.8
Climate and Health,Heat stress: emergency department visits,Southeast Queens,6.1
Climate and Health,Heat stress: emergency department visits,Rockaways,2.8
Climate and Health,Heat stress: emergency department visits,Port Richmond,21.1
Climate and Health,Heat stress: emergency department visits,Stapleton - St. George,16.7
Climate and Health,Heat stress: emergency department visits,Willowbrook,12.9
Climate and Health,Heat stress: emergency department visits,South Beach - Tottenville,7
Climate and Health,Heat stress: emergency department visits,Kingsbridge - Riverdale,10.1
Climate and Health,Heat stress: emergency department visits,Northeast Bronx,13.9
Climate and Health,Heat stress: emergency department visits,Fordham - Bronx Pk,15.3
Climate and Health,Heat stress: emergency department visits,Pelham - Throgs Neck,18.6
Climate and Health,Heat stress: emergency department visits,Crotona -Tremont,19.3
Climate and Health,Heat stress: emergency department visits,High Bridge - Morrisania,18.1
Climate and Health,Heat stress: emergency department visits,Hunts Point - Mott Haven,20.8
Climate and Health,Heat stress: emergency department visits,Greenpoint,4.9
Climate and Health,Heat stress: emergency department visits,Downtown - Heights - Slope,23.2
Climate and Health,Heat stress: emergency department visits,Bedford Stuyvesant - Crown Heights,16.6
Climate and Health,Heat stress: emergency department visits,East New York,11.7
Climate and Health,Heat stress: emergency department visits,Sunset Park,6.5
Climate and Health,Heat stress: emergency department visits,Borough Park,4.3
Climate and Health,Heat stress: emergency department visits,East Flatbush - Flatbush,10.6
Climate and Health,Heat stress: emergency department visits,Canarsie - Flatlands,11.4
Climate and Health,Heat stress: emergency department visits,Bensonhurst - Bay Ridge,5.5
Climate and Health,Heat stress: emergency department visits,Coney Island - Sheepshead Bay,8.7
Climate and Health,Heat stress: emergency department visits,Williamsburg - Bushwick,15
Climate and Health,Heat stress: emergency department visits,Washington Heights,12.4
Climate and Health,Heat stress: emergency department visits,Central Harlem - Morningside Heights,21.4
Climate and Health,Heat stress: emergency department visits,East Harlem,16.4
Climate and Health,Heat stress: emergency department visits,Upper West Side,3.6
Climate and Health,Heat stress: emergency department visits,Upper East Side,4.1
Climate and Health,Heat stress: emergency department visits,Chelsea - Clinton,7.9
Climate and Health,Heat stress: emergency department visits,Gramercy Park - Murray Hill,5.3
Climate and Health,Heat stress: emergency department visits,Greenwich Village - SoHo,3.6
Climate and Health,Heat stress: emergency department visits,Union Square - Lower East Side,8.5
Climate and Health,Heat stress: emergency department visits,Lower Manhattan,4.4
Climate and Health,Heat stress: emergency department visits,Long Island City - Astoria,18.1
Climate and Health,Heat stress: emergency department visits,West Queens,7.9
Climate and Health,Heat stress: emergency department visits,Flushing - Clearview,6.3
Climate and Health,Heat stress: emergency department visits,Bayside - Little Neck,8.2
Climate and Health,Heat stress: emergency department visits,Ridgewood - Forest Hills,8.8
Climate and Health,Heat stress: emergency department visits,Fresh Meadows,4.3
Climate and Health,Heat stress: emergency department visits,Southwest Queens,10.8
